Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACU,Acme United Corporation. Common Stock,$48.95,-0.85,-1.707%,175489177.00,United States,1988,26272,Consumer Discretionary,Industrial Machinery/Components
ADRT,Ault Disruptive Technologies Corporation Common Stock,$11.55,-0.95,-7.60%,166031250.00,,2022,3190,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$23.97,0.57,2.436%,61038191.00,United States,1980,15091,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.06,-0.02,-0.394%,543254250.00,United States,,58276,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$12.20,0.80,7.018%,453347120.00,United States,,22653,Health Care,Biotechnology: Pharmaceutical Preparations
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$6.25,-0.02,-0.319%,346436563.00,,,3478,Industrials,Environmental Services
APT,Alpha Pro Tech Ltd. Common Stock,$5.66,0.21,3.853%,65922563.00,Canada,2000,156098,Health Care,Industrial Specialties
ARMN,Aris Mining Corporation Common Shares,$2.87,-0.07,-2.381%,395580538.00,,2023,52486,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.99,-0.01,-0.333%,108078256.00,United States,,9141,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.441,-0.0116,-2.563%,55480511.00,Canada,,367472,,
ASXC,Asensus Surgical Inc. Common Stock,$0.2968,-0.0084,-2.752%,78449211.00,United States,,877527,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.31,1.45,21.137%,227805695.00,United States,,690914,Health Care,Biotechnology: Pharmaceutical Preparations
AXIL,AXIL Brands Inc. Common Stock,$13.0001,-0.7998,-5.796%,76100596.00,,2024,731,Consumer Discretionary,Package Goods/Cosmetics
BATL,Battalion Oil Corporation Common Stock,$5.99,0.07,1.182%,98574812.00,United States,,22432,Energy,Oil & Gas Production
BHB,Bar Harbor Bankshares Inc. Common Stock,$24.96,-0.13,-0.518%,378293036.00,United States,1997,17838,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$14.98,0.25,1.697%,58118715.00,,2022,8482,Real Estate,Real Estate Investment Trusts
BTG,B2Gold Corp Common shares (Canada),$2.43,-0.06,-2.41%,3166165990.00,Canada,,6350266,Basic Materials,Precious Metals
CATX,Perspective Therapeutics Inc. Common Stock,$0.90,-0.06,-6.25%,252513923.00,United States,,1212845,Health Care,Medical/Dental Instruments
CET,Central Securities Corporation Common Stock,$38.60,-0.15,-0.387%,9342172720.00,United States,1951,30000,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.43,-0.10,-0.95%,73360187.00,United States,1999,30986,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$22.40,-1.02,-4.355%,275828157.00,United States,1998,4894,Consumer Discretionary,Industrial Machinery/Components
CMCL,Caledonia Mining Corporation Plc Common Shares,$9.98,-0.03,-0.30%,191516200.00,Canada,,30700,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$17.74,0.33,1.895%,160382089.00,United States,1996,29492,Consumer Discretionary,Electronic Components
CTGO,Contango ORE Inc. Common Stock,$16.45,0.39,2.428%,154632106.00,United States,2021,17059,Basic Materials,Precious Metals
CVM,Cel-Sci Corporation Common Stock,$2.02,-0.11,-5.164%,101210547.00,United States,1997,883167,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CYBN,Cybin Inc. Common Shares,$0.3501,-0.0249,-6.64%,89826392.00,Canada,,2880675,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$2.13,0.10,4.926%,184756779.00,United States,2022,144424,Basic Materials,Precious Metals
DIT,AMCON Distributing Company Common Stock,$199.40,-0.48,-0.24%,125694183.00,United States,1999,57,Consumer Discretionary,Food Distributors
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.615,-0.04,-0.601%,412053999.00,United States,1988,21475,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.79,0.03,1.705%,1590605107.00,Canada,,13967459,,
DPSI,DecisionPoint Systems Inc. Common Stock,$8.78,0.64,7.862%,67209188.00,,2022,16239,Technology,Retail: Computer Software & Peripheral Equipment
ELA,Envela Corporation Common Stock,$4.43,-0.07,-1.556%,118281000.00,United States,,28691,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$18.85,1.55,8.96%,242222500.00,Israel,,11968,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$15.50,0.52,3.471%,133381019.00,United States,2011,44657,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$1.50,0.00,0.00%,168306060.00,Canada,,179005,Basic Materials,Metal Mining
EP,Empire Petroleum Corporation Common Stock,$5.94,0.11,1.887%,135980143.00,United States,2022,41893,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.66,-0.05,-0.876%,189362828.00,United States,,336733,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$4.10,-0.12,-2.844%,1326779254.00,Canada,,1909186,Basic Materials,Precious Metals
ESP,Espey Mfg. & Electronics Corp. Common Stock,$25.78,-0.18,-0.693%,69887853.00,United States,1960,20462,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$28.92,-0.30,-1.027%,158585452.00,United States,,11481,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$21.10,0.33,1.589%,267426949.00,United States,1999,13656,Industrials,Industrial Machinery/Components
FLYX,flyExclusive Inc. Class A Common Stock,$12.00,1.70,16.505%,337500000.00,,2023,18713,Finance,Blank Checks
FRD,Friedman Industries Inc. Common Stock,$19.00,1.01,5.614%,132549909.00,United States,1975,49165,Industrials,Steel/Iron Ore
FSP,Franklin Street Properties Corp. Common Stock,$2.26,-0.09,-3.83%,233752598.00,United States,,507121,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.245,-0.025,-0.399%,252331561.00,United States,2003,150390,Finance,Finance/Investors Services
GAU,Galiano Gold Inc.,$0.8921,-0.0079,-0.878%,200683354.00,Canada,,127123,,
GENC,Gencor Industries Inc. Common Stock,$16.59,-0.01,-0.06%,243171276.00,United States,,11553,Industrials,Construction/Ag Equipment/Trucks
GLDG,GoldMining Inc. Common Shares,$0.80,0.015,1.911%,141470625.00,,,270605,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$13.06,-0.14,-1.061%,77953978.00,United States,2004,12904,Finance,Finance/Investors Services
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.48,-0.02,-0.364%,69648515.00,United States,2004,28961,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$0.479,-0.041,-7.885%,372397065.00,,2022,78005,,
GROY,Gold Royalty Corp. Common Shares,$1.78,0.06,3.488%,258047107.00,Canada,2021,672807,Basic Materials,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.66,0.01,0.606%,3154000000.00,United States,2006,2629016,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$5.32,-0.14,-2.564%,171551385.00,Canada,,185995,Energy,Oil & Gas Production
IAUX,i-80 Gold Corp. Common Shares,$1.25,-0.04,-3.101%,373125418.00,Canada,2022,1945063,Basic Materials,Precious Metals
IDR,Idaho Strategic Resources Inc. Common Stock,$8.01,0.41,5.395%,98174749.00,,2022,72108,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$7.67,0.00,0.00%,796022551.00,Canada,2022,313214,Basic Materials,Metal Mining
IMO,Imperial Oil Limited Common Stock,$62.56,0.95,1.542%,35450694902.00,Canada,1929,476854,Energy,Integrated oil Companies
INFU,InfuSystems Holdings Inc. Common Stock,$9.36,0.15,1.629%,198277803.00,United States,,19579,Health Care,Medical/Dental Instruments
INTT,inTest Corporation Common Stock,$11.56,0.28,2.482%,140584767.00,United States,1997,64727,Technology,Semiconductors
INUV,Inuvo Inc.,$0.46,0.0432,10.365%,63471572.00,United States,,769807,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$14.75,0.00,0.00%,61484107.00,United States,1987,56,Real Estate,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$15.475,0.475,3.167%,58985268.00,United States,,16886,Consumer Discretionary,Publishing
KNW,Know Labs Inc. Common Stock,$0.684,0.202,41.909%,55641022.00,,2022,271758,Industrials,Industrial Machinery/Components
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.04,0.01,0.971%,181986138.00,United States,,431054,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$41.11,0.16,0.391%,644425314.00,United States,2014,246992,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LODE,Comstock Inc. Common Stock,$0.46,0.0002,0.043%,53879904.00,United States,,288416,Industrials,Major Chemicals
LXFR,Luxfer Holdings PLC Ordinary Shares,$7.70,-0.02,-0.259%,206906438.00,United Kingdom,2012,91683,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$8.58,-0.08,-0.924%,883299100.00,Canada,,455374,Basic Materials,Precious Metals
MHH,Mastech Digital Inc Common Stock,$8.80,0.22,2.564%,102072414.00,United States,,6486,Consumer Discretionary,Professional Services
MPTI,M-tron Industries Inc. Common Stock,$37.56,1.75,4.887%,104712022.00,,2022,40917,,
MPU,Mega Matrix Corp. Common Stock,$2.94,-0.05,-1.672%,93270415.00,United States,1998,457028,Consumer Discretionary,Diversified Commercial Services
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$2.49,0.10,4.184%,226537835.00,,,585657,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.269,0.0296,12.364%,58444157.00,United States,2017,2381990,Health Care,Biotechnology: Pharmaceutical Preparations
MYO,Myomo Inc. Common Stock,$2.75,-0.11,-3.846%,72919558.00,United States,2017,335755,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.2361,-0.0002,-0.085%,125114823.00,Canada,,1511639,,
NEWP,New Pacific Metals Corp. Common Shares,$0.971,-0.089,-8.396%,166242371.00,,2021,219058,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$3.12,-0.05,-1.577%,583043797.00,,2021,166410,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$2.36,-0.04,-1.667%,789116086.00,Canada,2003,1883243,,
NGD,New Gold Inc.,$1.12,-0.03,-2.609%,767872000.00,Canada,,2512966,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$98.73,0.39,0.397%,1515504414.00,United States,1986,57282,Health Care,Hospital/Nursing Management
NTIP,Network-1 Technologies Inc. Common Stock,$2.15,-0.03,-1.376%,50805846.00,United States,,5788,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$6.80,-0.13,-1.876%,525664058.00,Canada,2022,190867,Energy,Oil & Gas Production
ORLA,Orla Mining Ltd. Common Shares,$3.33,-0.30,-8.264%,1047021930.00,,2020,726095,,
OZ,Belpointe PREP LLC Class A Units,$62.04,0.1227,0.198%,228276924.00,,,15485,,
PED,Pedevco Corp. Common Stock,$0.7237,-0.0063,-0.863%,63143018.00,United States,,28359,Energy,Oil & Gas Production
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$0.98,-0.0364,-3.581%,100329142.00,Canada,,198391,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.49,0.04,2.759%,108698665.00,Israel,,418848,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PRK,Park National Corporation Common Stock,$127.35,-0.79,-0.617%,2052433601.00,United States,1994,38921,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$3.62,0.49,15.655%,58414637.00,United States,1999,944397,Health Care,Biotechnology: Pharmaceutical Preparations
REI,Ring Energy Inc. Common Stock,$1.36,-0.02,-1.449%,266057209.00,United States,,719734,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$22.87,-0.11,-0.479%,467147171.00,United States,1999,75382,Energy,Oil & Gas Production
RLGT,Radiant Logistics Inc. Common Stock,$5.69,-0.09,-1.557%,266992075.00,United States,,121111,Consumer Discretionary,Oil Refining/Marketing
SEB,Seaboard Corporation Common Stock,$3465.31,93.45,2.771%,3365006602.00,United States,1996,6287,Industrials,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$0.702,-0.028,-3.836%,370853546.00,United States,,3030277,Industrials,Industrial Machinery/Components
